책제목,저자,가격,이미지,책_상세_주소
"IT CookBook, HTML & CSS for Beginner",황재호 ,"23,000",https://www.hanbit.co.kr/data/books/B3308171786_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B3308171786
만약 헤밍웨이가 자바스크립트로 코딩한다면,앵거스 크롤 ,"17,100",https://www.hanbit.co.kr/data/books/B7118865707_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B7118865707
헤드 퍼스트 대수학 Head First Algebra,"댄 필로네 , 트레이시 필로네 ","28,800",https://www.hanbit.co.kr/data/books/B6727935290_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B6727935290
아두이노 101,서영배 ,"16,200",https://www.hanbit.co.kr/data/books/B3539372944_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B3539372944
데이터베이스 첫걸음,"미크 , 기무라 메이지 ","18,900",https://www.hanbit.co.kr/data/books/B5934047828_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B5934047828
하드웨어 스타트업,"르네 디레스타 , 브레이디 포레스트 , 라이언 빈야드 ","18,000",https://www.hanbit.co.kr/data/books/B8086820379_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B8086820379
리버스 엔지니어링 1권(파일 구조 편),이호동 ,"54,000",https://www.hanbit.co.kr/data/books/B7841415659_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B7841415659
비박스 환경을 활용한 웹 모의해킹 완벽 실습,"조정원 , 이승준 , 김영선 , 최일선 , 이선경 , 이해인 ","16,200",https://www.hanbit.co.kr/data/ebook/E5082523826_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E5082523826
"SWedu, 컴퓨팅 사고력을 키우는 SW 교육 : 엔트리 & 햄스터","황준 , 박광현 , 이웅재 , 최은정 , 고혜영 , 이재호 , 손예진 , 조민주 ","20,000",https://www.hanbit.co.kr/data/books/B3359290570_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B3359290570
처음 시작하는 AWS 람다,매튜 풀러(Matthew Fuller) ,"12,600",https://www.hanbit.co.kr/data/ebook/E9803812042_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E9803812042
HTTPS 무료 사용을 위한 Let’s Encrypt 사용자 가이드,시큐리티플러스 ,0,https://www.hanbit.co.kr/data/ebook/E3940440183_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E3940440183
텐서플로 첫걸음,조르디 토레스 ,"14,400",https://www.hanbit.co.kr/data/books/B3286570432_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B3286570432
Spring MVC 4 익히기,지오프로이 워렌 ,"15,300",https://www.hanbit.co.kr/data/ebook/E3493022562_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E3493022562
빠르게 훑어보는 구글 클라우드 플랫폼,"조대협 , 최명근 , 최유석 , 윤성재 , 김영균 ",0,https://www.hanbit.co.kr/data/ebook/E5359426070_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E5359426070
"IT CookBook, 자바 프로그래밍 바이블","오경주 , 염기호 , 정용훈 ","29,000",https://www.hanbit.co.kr/data/books/B9034471839_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B9034471839
전문가를 위한 파이썬,루시아누 하말류 ,"49,500",https://www.hanbit.co.kr/data/books/B3316273713_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B3316273713
DBD 공격과 자바스크립트 난독화로 배우는 해킹의 기술,최우석 ,"12,600",https://www.hanbit.co.kr/data/ebook/E2188310203_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E2188310203
"IT CookBook, 처음 만나는 디지털 논리회로","임석구 , 홍경호 ","22,000",https://www.hanbit.co.kr/data/books/B4474033401_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B4474033401
처음 시작하는 리액트 : UI를 위한 자바스크립트 라이브러리 ReactJS,"톰 핼럿 , 리차드 펠드만 , 시몬 회벡 , 칼 미켈슨 , 존 비비 , 프랑키 반야르디 ","15,300",https://www.hanbit.co.kr/data/ebook/E1702596311_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E1702596311
"SWedu, 컴퓨팅 사고력을 키우는 SW 교육 : 파이썬",우재남 ,"22,000",https://www.hanbit.co.kr/data/books/B1351480843_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B1351480843
7가지 동시성 모델,폴 부처 ,"22,500",https://www.hanbit.co.kr/data/books/B3745244799_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B3745244799
처음부터 다시 배우는 웹 기획,"정재용 , 최준호 , 조영수 ","25,200",https://www.hanbit.co.kr/data/books/B3676528557_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B3676528557
D3.js 인 액션,일리야 미크스 ,"27,000",https://www.hanbit.co.kr/data/books/B3521352024_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B3521352024
게임스토밍,"데이브 그레이 , 서니 브라운 , 제임스 매카누포 ","16,200",https://www.hanbit.co.kr/data/books/B2319574587_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B2319574587
"IT CookBook, 운영체제(개정3판)",구현회 ,"27,000",https://www.hanbit.co.kr/data/books/B3239422381_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B3239422381
이것이 SQL Server다,우재남 ,"27,000",https://www.hanbit.co.kr/data/books/B5845748581_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B5845748581
안드로이드를 위한 Gradle,유동환 ,"9,000",https://www.hanbit.co.kr/data/ebook/E8537768618_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E8537768618
처음 시작하는 Sass,"김유리 , 방지은 , 양주희 , 정대영 , 홍보라 ","10,800",https://www.hanbit.co.kr/data/ebook/E8613353565_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E8613353565
IT 해외 취업 가이드 : 미국편,송기봉 ,"18,000",https://www.hanbit.co.kr/data/books/B9311856796_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B9311856796
